,Year,Continent,Disaster Type,counts
666,1962,Europe,Storm,1
667,1962,Europe,Transport accident,2
668,1962,Oceania,Storm,1
669,1963,Africa,Earthquake,1
670,1963,Africa,Flood,3
671,1963,Americas,Drought,1
672,1963,Americas,Epidemic,1
673,1963,Americas,Extreme temperature,1
674,1963,Americas,Flood,1
675,1963,Americas,Miscellaneous accident,2
676,1963,Americas,Storm,12
677,1963,Americas,Transport accident,2
678,1963,Americas,Volcanic activity,1
679,1963,Asia,Earthquake,1
680,1963,Asia,Epidemic,2
681,1963,Asia,Flood,4
682,1963,Asia,Landslide,1
683,1963,Asia,Mass movement (dry),1
684,1963,Asia,Storm,9
685,1963,Asia,Transport accident,2
686,1963,Asia,Volcanic activity,2
687,1963,Europe,Earthquake,1
688,1963,Europe,Extreme temperature,1
689,1963,Europe,Landslide,1
690,1963,Europe,Transport accident,1
691,1964,Africa,Drought,2
692,1964,Africa,Earthquake,1
693,1964,Africa,Flood,5
694,1964,Africa,Miscellaneous accident,1
695,1964,Africa,Transport accident,1
696,1964,Americas,Drought,1
697,1964,Americas,Earthquake,2
698,1964,Americas,Epidemic,1
699,1964,Americas,Flood,5
700,1964,Americas,Miscellaneous accident,3
701,1964,Americas,Storm,8
702,1964,Americas,Volcanic activity,1
703,1964,Asia,Drought,4
704,1964,Asia,Earthquake,3
705,1964,Asia,Epidemic,2
706,1964,Asia,Flood,10
707,1964,Asia,Industrial accident,2
708,1964,Asia,Landslide,1
709,1964,Asia,Miscellaneous accident,1
710,1964,Asia,Storm,13
711,1964,Europe,Earthquake,1
712,1964,Europe,Flood,1
713,1964,Europe,Miscellaneous accident,1
714,1964,Europe,Transport accident,1
715,1964,Oceania,Flood,1
716,1964,Oceania,Storm,1
717,1965,Africa,Drought,4
718,1965,Africa,Earthquake,1
719,1965,Africa,Epidemic,3
720,1965,Africa,Flood,2
721,1965,Africa,Transport accident,4
722,1965,Americas,Drought,1
723,1965,Americas,Earthquake,3
724,1965,Americas,Epidemic,1
725,1965,Americas,Flood,9
726,1965,Americas,Landslide,4
727,1965,Americas,Miscellaneous accident,1
728,1965,Americas,Storm,4
729,1965,Americas,Transport accident,1
730,1965,Americas,Wildfire,1
731,1965,Asia,Drought,2
732,1965,Asia,Earthquake,2
733,1965,Asia,Epidemic,2
734,1965,Asia,Extreme temperature,1
735,1965,Asia,Flood,6
736,1965,Asia,Industrial accident,2
737,1965,Asia,Miscellaneous accident,2
738,1965,Asia,Storm,12
739,1965,Asia,Transport accident,1
740,1965,Asia,Volcanic activity,1
741,1965,Europe,Earthquake,2
742,1965,Europe,Flood,2
743,1965,Europe,Industrial accident,1
744,1965,Europe,Landslide,2
745,1965,Europe,Miscellaneous accident,2
746,1965,Europe,Storm,1
747,1965,Oceania,Storm,2
748,1966,Africa,Drought,6
749,1966,Africa,Earthquake,2
750,1966,Africa,Epidemic,2
751,1966,Africa,Flood,2
752,1966,Africa,Storm,1
753,1966,Americas,Drought,1
754,1966,Americas,Earthquake,2
755,1966,Americas,Extreme temperature,2
756,1966,Americas,Flood,8
757,1966,Americas,Landslide,2
758,1966,Americas,Miscellaneous accident,3
759,1966,Americas,Storm,14
760,1966,Asia,Drought,2
761,1966,Asia,Earthquake,6
762,1966,Asia,Flood,12
763,1966,Asia,Landslide,1
764,1966,Asia,Miscellaneous accident,4
765,1966,Asia,Storm,7
766,1966,Asia,Transport accident,1
767,1966,Asia,Volcanic activity,2
768,1966,Europe,Earthquake,3
769,1966,Europe,Flood,1
770,1966,Europe,Landslide,1
771,1966,Europe,Storm,1
772,1966,Europe,Transport accident,2
773,1966,Europe,Wildfire,1
774,1966,Oceania,Storm,5
775,1967,Africa,Drought,2
776,1967,Africa,Earthquake,1
777,1967,Africa,Flood,3
778,1967,Africa,Landslide,1
779,1967,Africa,Storm,1
780,1967,Americas,Earthquake,3
781,1967,Americas,Epidemic,2
782,1967,Americas,Flood,10
783,1967,Americas,Landslide,1
784,1967,Americas,Miscellaneous accident,1
785,1967,Americas,Storm,10
786,1967,Asia,Drought,2
787,1967,Asia,Earthquake,7
788,1967,Asia,Epidemic,3
789,1967,Asia,Flood,12
790,1967,Asia,Miscellaneous accident,5
791,1967,Asia,Storm,10
792,1967,Asia,Transport accident,1
793,1967,Asia,Wildfire,1
794,1967,Europe,Earthquake,4
795,1967,Europe,Flood,1
796,1967,Europe,Industrial accident,1
797,1967,Europe,Miscellaneous accident,2
798,1967,Europe,Storm,2
799,1967,Europe,Transport accident,6
800,1967,Oceania,Drought,1
801,1967,Oceania,Storm,2
802,1967,Oceania,Wildfire,1
803,1968,Africa,Drought,3
804,1968,Africa,Flood,5
805,1968,Africa,Landslide,1
806,1968,Africa,Storm,1
807,1968,Americas,Drought,4
808,1968,Americas,Earthquake,4
809,1968,Americas,Extreme temperature,2
810,1968,Americas,Flood,2
811,1968,Americas,Miscellaneous accident,2
812,1968,Americas,Storm,6
813,1968,Americas,Transport accident,1
814,1968,Americas,Volcanic activity,1
815,1968,Asia,Earthquake,7
816,1968,Asia,Epidemic,4
817,1968,Asia,Flood,12
818,1968,Asia,Industrial accident,1
819,1968,Asia,Landslide,2
820,1968,Asia,Miscellaneous accident,1
821,1968,Asia,Storm,11
822,1968,Asia,Volcanic activity,1
823,1968,Asia,Wildfire,2
824,1968,Europe,Earthquake,3
825,1968,Europe,Flood,1
