,Disaster Type,Country,ISO,counts
433,Epidemic,Uzbekistan,UZB,1
434,Epidemic,Vanuatu,VUT,2
435,Epidemic,Venezuela (Bolivarian Republic of),VEN,7
436,Epidemic,Viet Nam,VNM,11
437,Epidemic,Yemen,YEM,8
438,Epidemic,Yugoslavia,YUG,1
439,Epidemic,Zambia,ZMB,19
440,Epidemic,Zimbabwe,ZWE,23
441,Extreme temperature,Afghanistan,AFG,7
442,Extreme temperature,Albania,ALB,5
443,Extreme temperature,Algeria,DZA,3
444,Extreme temperature,Argentina,ARG,8
445,Extreme temperature,Armenia,ARM,1
446,Extreme temperature,Australia,AUS,7
447,Extreme temperature,Austria,AUT,6
448,Extreme temperature,Azerbaijan,AZE,1
449,Extreme temperature,Bangladesh,BGD,24
450,Extreme temperature,Belarus,BLR,6
451,Extreme temperature,Belgium,BEL,14
452,Extreme temperature,Belize,BLZ,1
453,Extreme temperature,Bolivia (Plurinational State of),BOL,5
454,Extreme temperature,Bosnia and Herzegovina,BIH,4
455,Extreme temperature,Brazil,BRA,8
456,Extreme temperature,Bulgaria,BGR,9
457,Extreme temperature,Canada,CAN,6
458,Extreme temperature,Canary Is,SPI,1
459,Extreme temperature,Chile,CHL,9
460,Extreme temperature,China,CHN,14
461,Extreme temperature,Croatia,HRV,6
462,Extreme temperature,Cyprus,CYP,3
463,Extreme temperature,Czech Republic (the),CZE,6
464,Extreme temperature,Czechoslovakia,CSK,3
465,Extreme temperature,Egypt,EGY,4
466,Extreme temperature,El Salvador,SLV,1
467,Extreme temperature,Estonia,EST,3
468,Extreme temperature,France,FRA,20
469,Extreme temperature,Germany,DEU,13
470,Extreme temperature,Germany Fed Rep,DFR,1
471,Extreme temperature,Greece,GRC,8
472,Extreme temperature,Guatemala,GTM,4
473,Extreme temperature,Hong Kong,HKG,1
474,Extreme temperature,Hungary,HUN,6
475,Extreme temperature,India,IND,60
476,Extreme temperature,Iran (Islamic Republic of),IRN,1
477,Extreme temperature,Israel,ISR,2
478,Extreme temperature,Italy,ITA,11
479,Extreme temperature,Japan,JPN,16
480,Extreme temperature,Jordan,JOR,2
481,Extreme temperature,Kazakhstan,KAZ,3
482,Extreme temperature,Korea (the Democratic People's Republic of),PRK,1
483,Extreme temperature,Korea (the Republic of),KOR,3
484,Extreme temperature,Kyrgyzstan,KGZ,2
485,Extreme temperature,Latvia,LVA,4
486,Extreme temperature,Liberia,LBR,1
487,Extreme temperature,Lithuania,LTU,6
488,Extreme temperature,Luxembourg,LUX,1
489,Extreme temperature,Macedonia (the former Yugoslav Republic of),MKD,6
490,Extreme temperature,Mexico,MEX,17
491,Extreme temperature,Moldova (the Republic of),MDA,3
492,Extreme temperature,Mongolia,MNG,5
493,Extreme temperature,Montenegro,MNE,1
494,Extreme temperature,Morocco,MAR,6
495,Extreme temperature,Nepal,NPL,8
496,Extreme temperature,Netherlands (the),NLD,8
497,Extreme temperature,New Zealand,NZL,1
498,Extreme temperature,Nigeria,NGA,2
499,Extreme temperature,Pakistan,PAK,18
500,Extreme temperature,"Palestine, State of",PSE,1
501,Extreme temperature,Paraguay,PRY,3
502,Extreme temperature,Peru,PER,12
503,Extreme temperature,Poland,POL,19
504,Extreme temperature,Portugal,PRT,6
505,Extreme temperature,Romania,ROU,20
506,Extreme temperature,Russian Federation (the),RUS,21
507,Extreme temperature,Serbia,SRB,9
508,Extreme temperature,Serbia Montenegro,SCG,2
509,Extreme temperature,Slovakia,SVK,5
510,Extreme temperature,Slovenia,SVN,2
511,Extreme temperature,South Africa,ZAF,3
512,Extreme temperature,Spain,ESP,10
513,Extreme temperature,Sudan (the),SDN,1
514,Extreme temperature,Sweden,SWE,1
515,Extreme temperature,Switzerland,CHE,6
516,Extreme temperature,Taiwan (Province of China),TWN,1
517,Extreme temperature,Tajikistan,TJK,3
518,Extreme temperature,Thailand,THA,2
519,Extreme temperature,Turkey,TUR,7
520,Extreme temperature,Ukraine,UKR,8
521,Extreme temperature,United Kingdom of Great Britain and Northern Ireland (the),GBR,12
522,Extreme temperature,United States of America (the),USA,36
523,Extreme temperature,Uruguay,URY,4
524,Extreme temperature,Yugoslavia,YUG,1
525,Flood,Afghanistan,AFG,96
526,Flood,Albania,ALB,15
527,Flood,Algeria,DZA,51
528,Flood,American Samoa,ASM,1
529,Flood,Angola,AGO,43
530,Flood,Anguilla,AIA,1
531,Flood,Argentina,ARG,66
532,Flood,Armenia,ARM,3
533,Flood,Australia,AUS,65
534,Flood,Austria,AUT,17
535,Flood,Azerbaijan,AZE,7
536,Flood,Bahamas (the),BHS,2
537,Flood,Bangladesh,BGD,96
538,Flood,Barbados,BRB,2
539,Flood,Belarus,BLR,4
540,Flood,Belgium,BEL,23
541,Flood,Belize,BLZ,5
542,Flood,Benin,BEN,20
543,Flood,Bhutan,BTN,3
544,Flood,Bolivia (Plurinational State of),BOL,49
545,Flood,Bosnia and Herzegovina,BIH,16
546,Flood,Botswana,BWA,11
547,Flood,Brazil,BRA,147
548,Flood,Bulgaria,BGR,20
